Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Career
23,Male,B.Tech,Civil,7.32,2,4,5,6,56,6,1,0,Data Analyst
24,Female,MCA,ME,4.76,0,1,1,4,37,4,0,3,Full Stack Developer
20,Male,BCA,ME,6.16,0,3,3,8,68,6,1,3,Full Stack Developer
19,Male,B.Sc,IT,8.77,2,5,8,5,83,6,3,0,Backend Developer
23,Male,B.Tech,ME,7.63,0,3,4,6,66,7,1,0,Data Analyst
21,Female,B.Tech,IT,7.11,1,3,4,3,78,6,1,0,Software Engineer
20,Male,MCA,IT,7.66,2,5,8,4,74,6,2,0,Software Engineer
19,Male,B.Sc,IT,7.08,2,5,8,5,94,4,3,1,Backend Developer
23,Male,B.Tech,IT,7.1,2,5,9,4,94,4,3,0,Software Engineer
18,Female,BCA,ECE,7.65,0,3,4,5,66,6,1,0,Backend Developer
21,Female,B.Sc,IT,8.66,0,4,6,4,79,7,2,0,Software Engineer
21,Male,B.Sc,ME,7.04,1,3,4,4,84,7,2,0,Data Analyst
20,Male,B.Tech,CSE,7.07,1,5,8,5,82,6,3,2,Backend Developer
22,Male,BCA,CSE,7.49,3,5,8,3,93,4,3,0,Software Engineer
23,Male,B.Sc,CSE,5.91,1,4,7,4,87,7,2,2,Software Engineer
21,Female,BCA,IT,7.94,2,5,8,8,97,5,3,1,Full Stack Developer
22,Female,B.Tech,ME,7.77,0,3,4,5,75,6,1,0,Data Analyst
18,Female,B.Sc,ME,6.98,0,3,4,6,71,6,1,0,Data Analyst
18,Male,B.Sc,ME,7.58,0,4,5,5,73,8,2,0,Data Analyst
19,Male,B.Tech,CSE,5.55,0,4,8,6,53,5,2,2,Backend Developer
23,Male,B.Tech,Civil,6.82,0,3,5,9,67,6,2,2,Data Analyst
22,Female,BCA,ECE,6.42,0,3,4,4,59,6,1,2,Backend Developer
19,Male,B.Sc,IT,8.05,1,5,7,5,80,4,2,0,Backend Developer
23,Male,B.Tech,Civil,5.2,0,3,4,5,56,4,1,3,Data Analyst
20,Female,MCA,IT,4.99,1,2,4,6,51,7,1,3,Software Engineer
22,Male,BCA,ME,8.41,1,5,8,6,79,7,2,0,Software Engineer
24,Male,B.Tech,ME,6.23,0,3,3,7,56,4,1,2,Data Analyst
